,Name,Where_They_Live,Introduction,Types,Image
0,Voi Châu Á,Châu Á,"Voi châu Á là những họ hàng nhỏ con hơn của loài voi châu Phi (Loxodonta africana). Nó nhiều khả năng độc đáo, nhờ vào cấu trúc cơ thể và tính cách đặc trưng. Chúng có thể thể hiện cảm xúc và trí thông minh đáng ngạc nhiên.",3,voi_chau_A.jpg
1,Hươu Cao Cổ,Châu Phi,Hươu Cao Cổ là một loài động vật có vú cao to và có lông vằn đặc trưng. Hươu Cao Cổ là loài động vật cao nhất trên cạn và sử dụng cổ dài để hướng đến những tán lá cao trên cây.,4,huu_cao_co.jpg
2,Hổ,Châu Á,Hổ là loài mèo lớn nhất và được biết đến với bộ lông màu cam đặc trưng với vạch đen. Chúng là một trong những loài săn mồi mạnh mẽ và đang bị đe dọa nghiêm trọng.,6,ho.jpg
3,Sư Tử,Châu Phi,"Sư Tử là một loài mèo lớn và được biết đến với danh hiệu 'Vua của rừng'. Sư tử là một trong những loài đại miêu của họ Mèo, chi Báo.",2,su_tu.jpg
4,Báo Đốm,Châu Phi,Báo Đốm là một loài mèo lớn nổi tiếng với tốc độ phi thường. Đây là động vật chạy nhanh nhất trên cạn với hình dáng mảnh mai và chân dài.,1,bao_dom.jpg
5,Đười ươi,Borneo và Sumatra,"Đười ươi là loài linh trưởng lớn sống trên các hòn đảo Borneo và Sumatra. Chúng nổi tiếng với trí tuệ, khả năng linh hoạt và lông màu đỏ.",2,duoi_uoi.jpg
6,Kangaroo,Australia,"Kangaroo là một loài túi quảng bá đến Australia. Chúng nổi tiếng với chân sau mạnh mẽ và khả năng nhảy, cũng như việc mang con ở túi.",4,kangaroo.jpg
7,Hà mã,Châu Phi,"Hà mã, thường được gọi là hà mã, là một loài động vật lớn sống chủ yếu trong nước ở Châu Phi. Chúng nổi tiếng với kích thước khổng lồ và tính hung dữ.",2,ha_ma.jpg
8,Gấu trúc,Trung Quốc,Gấu trúc là loài gấu lớn sinh sống trong vùng núi của Trung Quốc. Gấu trúc nổi tiếng với bộ lông đen và trắng đặc trưng và chế độ ăn tre. Gấu trúc đang bị đe dọa và các nỗ lực bảo tồn đã được thực hiện để bảo vệ chúng và môi trường sống tự nhiên của chúng.,2,panda.jpg
9,Sói,Bắc Mỹ,"Sói là động vật thông minh và xã hội thuộc họ Canidae. Chúng nổi tiếng với tiếng hú của mình và khả năng săn mồi. Sói sống và săn mồi thành đàn, trong đó chúng hợp tác để tiêu diệt con mồi. Sói có mặt ở nhiều môi trường khác nhau trên khắp Bắc Mỹ.",2,wolf.jpg
10,Khỉ đột,Đông Nam Á,Khỉ đột là loài linh trưởng sinh sống trong rừng nhiệt đới của Borneo và Sumatra. Chúng nổi tiếng với trí tuệ và khả năng sử dụng công cụ. Khỉ đột đang bị nguy cơ tuyệt chủng do mất môi trường sống và săn bắt trái phép. Chúng chủ yếu sống trên cây.,3,orangutan.jpg
11,Khỉ đầu chó,Châu Á,"Khỉ đầu chó là một nhóm loài khỉ trong họ Cercopithecidae. Chúng có hình dạng đặc biệt với đầu hình tam giác và mặt mũi rất phẳng. Khỉ đầu chó sống trong các khu rừng và thích ăn lá cây, trái cây và côn trùng.",30,proboscis_monkey.jpg
12,Tê giác,Châu Phi và Châu Á,Tê giác là loài động vật có vú lớn và có một chiếc sừng đặc biệt trên mũi. Chúng sống trong các khu rừng và thảo nguyên và thích ăn cỏ và các loại thực vật khác. Tê giác đang bị đe dọa nghiêm trọng do săn bắn và mất môi trường sống.,5,rhinoceros.jpg
13,Hươu,Toàn cầu,Hươu là một nhóm động vật có vú trong họ Cervidae. Chúng có lông màu nâu và một cặp sừng phát triển trên đầu. Hươu sống trong các khu rừng và thảo nguyên và thích ăn cỏ và lá cây.,53,deer.jpg
14,Lợn rừng,Châu Á,"Lợn rừng là một nhóm loài lớn trong họ lợn. Chúng có kích thước lớn và lông dày. Lợn rừng sống trong các khu rừng và thảo nguyên và thích ăn trái cây, rễ cây và côn trùng.",17,wild_boar.jpg
